[2026-09-26T12:09:17.627Z] syncing 1501 Better Bathrooms products to Shopify as DRAFT
[2026-09-26T12:09:30.561Z] ✓ 600mm Black Wall Hung Vanity Unit with Basin - Pendle — 1/1 variants, 5 images, 1 variant images
[2026-09-26T12:57:39.840Z] ✓ Wall Hung Rimless Short Projection Toilet with Soft Close Seat - Alcor — 1/1 variants, 12 images, 1 variant images
[2026-09-26T12:57:43.545Z] ✓ Wall Hung Toilet with Soft Close Seat Glass Sensor Pneumatic Flush Plate 820mm Frame & Cistern - Alcor — 2/2 variants, 16 images, 2 variant images
[2026-09-26T12:57:44.494Z] ✓ Matt Black Wall Hung Toilet with Soft Close Seat Frame Cistern and Chrome Flush - Verona — 1/1 variants, 12 images, 1 variant images
[2026-09-26T12:57:49.146Z] ✓ Wall Hung Rimless Toilet with Soft Close Seat, Glass Sensor Flush Plate, 820mm Frame & Cistern - Verona — 2/2 variants, 15 images, 2 variant images
[2026-09-26T12:57:52.474Z] ✓ Matt White Wall Hung Rimless Toilet with Soft Close Seat, Chrome Pneumatic Flush Plate, Grohe Frame & Cistern – Verona — 1/1 variants, 11 images, 1 variant images
[2026-09-26T12:57:56.554Z] ✓ Wall Hung Toilet with Soft Close Seat, Mechanical Black Flush Plate, 1168mm Frame & Cistern - Albi — 1/1 variants, 18 images, 1 variant images
[2026-09-26T12:58:07.716Z] ✓ Wall Hung Rimless Toilet with Soft Close Seat, Glass Sensor Flush Plate, 820mm Frame & Cistern - Verona — 2/2 variants, 16 images, 2 variant images
[2026-09-26T12:58:12.399Z] ✓ Wall Hung Rimless Toilet with Soft Close Seat, Glass Sensor Flush Plate, 1168mm Frame & Cistern - Verona — 3/3 variants, 15 images, 3 variant images
[2026-09-26T12:58:17.123Z] ✓ Wall Hung Rimless Toilet with Soft Close Seat, Glass Sensor Flush Plate, Frame & Cistern - Roma — 4/4 variants, 24 images, 4 variant images
[2026-09-26T12:58:18.160Z] ✓ Black Wall Hung Toilet with Black Glass Cabinet, Cistern & Pneumatic Dual Flush Button - Verona — 1/1 variants, 13 images, 1 variant images
[2026-09-26T12:58:18.563Z] ✓ Wall Hung Toilet with Soft Close Seat Glass Sensor Pneumatic Flush Plate 1170mm Frame & Cistern - Alcor — 2/2 variants, 16 images, 2 variant images
[2026-09-26T12:58:23.999Z] ✓ Black Wall Hung Toilet with White Glass Cabinet, Cistern & Pneumatic Dual Flush Button - Verona — 1/1 variants, 13 images, 1 variant images
[2026-09-26T12:58:30.565Z] ✓ Wall Hung Toilet with Soft Close Toilet Seat, Gunmetal Flush Plate, 1168mm Frame & Cistern - Alcor — 1/1 variants, 17 images, 1 variant images
[2026-09-26T12:58:35.787Z] ✓ Wall Hung Rimless Toilet with Soft Close Seat, Matt Black Pneumatic Flush Plate, 1160mm Frame & Cistern – Roma — 1/1 variants, 12 images, 1 variant images
[2026-09-26T12:58:41.327Z] ✓ Wall Hung Toilet with Soft Close Toilet Seat, Pneumatic Flush Plate, Frame & Cistern - Newport — 4/4 variants, 15 images, 4 variant images
[2026-09-26T12:58:42.191Z] ✓ Wall Hung Rimless Toilet with Soft Close Seat, Glass Pneumatic Flush Plate, Frame & Cistern - Austin — 4/4 variants, 14 images, 4 variant images
[2026-09-26T12:58:43.875Z] ✓ Wall Hung Rimless Short Projection Toilet with Soft Close Seat - Grohe Euro — 1/1 variants, 5 images, 1 variant images
[2026-09-26T12:58:52.137Z] ✓ Wall Hung Rimless Toilet with Soft Close Seat, 1130mm Grohe Cistern and Frame - Newport — 1/1 variants, 8 images, 1 variant images
[2026-09-26T12:58:52.137Z] progress 775/1501 (ok 768, warnings 0, failed 7)
[2026-09-26T12:58:56.699Z] ✓ Wall Hung Rimless Toilet with Soft Close Seat, Mechanical Flush Plate, 1160mm Frame & Cistern - Austin — 3/3 variants, 14 images, 3 variant images
[2026-09-26T12:59:03.758Z] ✓ Wall Hung Toilet with Soft Close Seat Pneumatic Flush Plate 1170mm Frame & Cistern - Newport — 3/3 variants, 16 images, 3 variant images
[2026-09-26T12:59:05.054Z] ✓ Wall Hung Rimless Toilet with Soft Close Seat, Glass Sensor Flush Plate, 1168mm Frame & Cistern - Newport — 2/2 variants, 16 images, 2 variant images
[2026-09-26T12:59:10.486Z] ✓ Wall Hung Smart Bidet Japanese Toilet with Heated Seat & Gunmtal Pneumatic Flush Plate, 820mm Frame & Cistern - Purificare — 1/1 variants, 21 images, 1 variant images
[2026-09-26T12:59:13.656Z] ✓ Wall Hung Rimless Toilet with Soft Close Seat, Black Mechanical Flush Plate, 1177mm Wirquin Frame & Cistern – Newport — 1/1 variants, 8 images, 1 variant images
[2026-09-26T12:59:14.757Z] ✓ Wall Hung Toilet with Soft Close Seat Pneumatic Flush Plate 820mm Frame & Cistern - Newport — 3/3 variants, 16 images, 3 variant images
[2026-09-26T12:59:24.140Z] ✓ Wall Hung Smart Bidet Toilet with Heated Seat & Gunmtal Pneumatic Flush Plate, 1168mm Frame & Cistern - Purificare — 1/1 variants, 21 images, 1 variant images
[2026-09-26T12:59:27.194Z] ✓ Wall Hung Toilet with Soft Close Seat Mechanical Flush Plate with 1160mm Frame & Cistern - Newport — 3/3 variants, 16 images, 3 variant images
[2026-09-26T12:59:32.643Z] ✓ Matt Black Wall Hung Smart Bidet Japanese Toilet & Grohe Frame, Cistern and Black Flush Plate - Purificare — 1/1 variants, 9 images, 1 variant images
[2026-09-26T12:59:34.236Z] ✓ Wall Hung Smart Bidet with, Pneumatic Flush Plate, 820mm Frame & Cistern - Purificare — 2/2 variants, 7 images, 2 variant images
[2026-09-26T12:59:37.813Z] ✓ Wall Hung Smart Bidet Japanese Toilet & 1160mm Frame Cistern and Mechanical Flush Plate - Purificare — 3/3 variants, 13 images, 3 variant images
[2026-09-26T12:59:40.626Z] ✓ Wall Hung Smart Bidet Japanese Toilet & Grohe Frame Cistern and Black Flush Plate - Purificare — 1/1 variants, 14 images, 1 variant images
[2026-09-26T12:59:43.244Z] ✓ Matt Black Wall Hung Smart Bidet with Brushed Brass Pneumatic Flush Plate, 820mm Frame & Cistern – Purificare — 1/1 variants, 7 images, 1 variant images
[2026-09-26T12:59:45.679Z] ✓ Newport Wall Hung Smart Bidet Japanese Toilet with Heated Seat - Purificare — 1/1 variants, 11 images, 1 variant images
[2026-09-26T12:59:51.093Z] ✓ White Round Soft Close Toilet Seat with Quick Release - Newport — 1/1 variants, 3 images, 1 variant images
[2026-09-26T12:59:57.142Z] ✓ Wall Hung Toilet with Black Glass Cabinet, Cistern & Pneumatic Dual Flush Button - Albi — 1/1 variants, 12 images, 1 variant images
[2026-09-26T12:59:58.671Z] ✓ White Round Soft Close Toilet Seat with Quick Release - Addison — 1/1 variants, 2 images, 1 variant images
[2026-09-26T13:00:02.236Z] ✓ Wall Hung Toilet with Soft Close Toilet Seat, Brushed Bronze Flush Plate, Frame & Cistern - Albi — 2/2 variants, 18 images, 2 variant images
[2026-09-26T13:00:04.031Z] ✓ Wall Hung Toilet with Soft Close Seat, Gunmetal Flush Plate, Frame & Cistern - Albi — 2/2 variants, 18 images, 2 variant images
[2026-09-26T13:00:05.838Z] ✓ White Round Soft Close Toilet Seat - Alcor — 1/1 variants, 5 images, 1 variant images
[2026-09-26T13:00:07.918Z] ✓ Gloss White Sandwich Seat - Albi — 1/1 variants, 5 images, 1 variant images
[2026-09-26T13:00:12.252Z] ✓ White Round Soft Close Toilet Seat with Quick Release - Legend — 1/1 variants, 6 images, 1 variant images
[2026-09-26T13:00:16.103Z] ✓ White Square Soft Close Toilet Seat with Quick Release - Ashford — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:00:17.761Z] ✓ White Round Toilet Seat with Soft Close and Quick Release - Roma — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:00:22.067Z] ✓ White Round Soft Close Toilet Seat with Quick Release - Indiana — 1/1 variants, 3 images, 1 variant images
[2026-09-26T13:00:22.068Z] progress 800/1501 (ok 793, warnings 0, failed 7)
[2026-09-26T13:00:25.378Z] ✓ Austin Wrap Round Toilet Seat — 1/1 variants, 6 images, 1 variant images
[2026-09-26T13:00:28.397Z] ✓ Square Soft Close Toilet Seat with Quick Release - Albi — 2/2 variants, 5 images, 2 variant images
[2026-09-26T13:00:34.438Z] ✓ White Round Soft Close Toilet Seat - Portland — 1/1 variants, 3 images, 1 variant images
[2026-09-26T13:00:36.892Z] ✓ Replacement Filter for Purificare Smart Bidet Toilets — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:00:39.836Z] ✓ Knurled Toilet Roll Holder - Arissa — 4/4 variants, 8 images, 4 variant images
[2026-09-26T13:00:43.694Z] ✓ Round Wooden Soft Close Toilet Seat with Quick Release and Hinges - Park Royal — 4/4 variants, 6 images, 4 variant images
[2026-09-26T13:00:45.309Z] ✓ White Round Soft Close Toilet Seat with Quick Release - Ripley — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:00:47.067Z] ✓ Smart Bidet Heated Japanese Toilet Seat with Warm Air Drying and Remote Control - Purificare — 1/1 variants, 12 images, 1 variant images
[2026-09-26T13:00:49.257Z] ✓ White Round Soft Close Toilet Seat with Quick Release - Pendle — 1/1 variants, 5 images, 1 variant images
[2026-09-26T13:00:53.755Z] ✓ White Square Soft Close Toilet Seat with Quick Release - Seren — 1/1 variants, 2 images, 1 variant images
[2026-09-26T13:00:57.096Z] ✓ Matt White Round Soft Close Toilet Seat - Newport — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:00:58.724Z] ✓ Arissa Brushed Brass Toilet roll holder — 1/1 variants, 3 images, 1 variant images
[2026-09-26T13:01:02.909Z] ✓ White Round Soft Close Toilet Seat with Quick Release - Venice — 1/1 variants, 2 images, 1 variant images
[2026-09-26T13:01:06.479Z] ✓ White Square Soft close Toilet Seat with Quick Release - Palma — 1/1 variants, 3 images, 1 variant images
[2026-09-26T13:01:08.042Z] ✓ White Round Soft Close Toilet Seat With Quick Release - Laurel — 1/1 variants, 3 images, 1 variant images
[2026-09-26T13:01:08.704Z] ✓ Round Soft Close Toilet Seat with Quick Release - Oregon — 2/2 variants, 7 images, 2 variant images
[2026-09-26T13:01:12.668Z] ✓ White Square Soft Close Toilet Seat with Quick Release - Boston — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:01:16.595Z] ✓ White Round Soft Close Toilet Seat with Quick Release - Tanya — 1/1 variants, 6 images, 1 variant images
[2026-09-26T13:01:18.091Z] ✓ Matt Black Replacement Seat and Remote Control for Japanese Toilet PURMBWH and PURMBBTW - Purificare — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:01:22.153Z] ✓ Grohe BauCosmopolitan Toilet Paper Holder — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:01:27.833Z] ✓ Matt Grey Round Soft Close Toilet Seat with Quick Release - Verona — 1/1 variants, 3 images, 1 variant images
[2026-09-26T13:01:30.580Z] ✓ Chrome Toilet Brush & Holder - Arissa — 1/1 variants, 2 images, 1 variant images
[2026-09-26T13:01:31.034Z] ✓ Toilet Roll Holder - Arissa — 2/2 variants, 4 images, 2 variant images
[2026-09-26T13:01:37.446Z] ✓ Grohe BauCosmopolitan Toilet Brush Set — 1/1 variants, 3 images, 1 variant images
[2026-09-26T13:01:40.272Z] ✓ 48mm Cistern Flush Button - Suitable for Albi, Ashford, Boston, Indiana, Newport, Palma, Ripley, Tanya & Venice — 2/2 variants, 4 images, 2 variant images
[2026-09-26T13:01:40.272Z] progress 825/1501 (ok 818, warnings 0, failed 7)
[2026-09-26T13:01:40.747Z] ✓ Matt White Round Soft Close Toilet Seat - Better Bathrooms — 1/1 variants, 9 images, 1 variant images
[2026-09-26T13:01:41.180Z] ✓ Arissa Matt Black Toilet Brush & Holder — 1/1 variants, 2 images, 1 variant images
[2026-09-26T13:01:47.492Z] ✓ Ideal Standard i.life A & S Soft Close Toilet Seat — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:01:49.956Z] ✓ Saniflo Sanipro Up Macerator Pump — 1/1 variants, 2 images, 1 variant images
[2026-09-26T13:01:50.400Z] ✓ Saniflo Sanislim Macerator Pump- — 1/1 variants, 2 images, 1 variant images
[2026-09-26T13:01:50.792Z] ✓ White Round Soft Close Toilet Seat with Quick Release & White Hinges - Newport — 1/1 variants, 3 images, 1 variant images
[2026-09-26T13:01:56.972Z] ✓ Ideal Standard i.life A Soft Close Toilet Seat — 1/1 variants, 3 images, 1 variant images
[2026-09-26T13:01:59.289Z] ✓ GRADE A1 - Arissa Matt Black Toilet Brush & Holder — 1/1 variants, 2 images, 1 variant images
[2026-09-26T13:01:59.717Z] ✓ Black Round Wrap Over Soft Close Toilet Seat with Quick Release - Newport — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:02:06.583Z] ✓ Wirquin Dual Flush Concealed Cistern — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:02:09.603Z] ✓ Grohe Concealed Dual Flush Cistern with Chrome Flush Plate — 1/1 variants, 5 images, 1 variant images
[2026-09-26T13:02:14.329Z] ✓ Glass Cabinet with Cistern & Pneumatic Dual Flush Button for Back to Wall Toilets - Hako — 2/2 variants, 7 images, 2 variant images
[2026-09-26T13:02:14.757Z] ✓ White Glass Cabinet with Cistern, Frame & Pneumatic Dual Flush Button for Wall Hung Toilets - Hako — 1/1 variants, 6 images, 1 variant images
[2026-09-26T13:02:18.293Z] ✓ McAlpine WC-F26R Flexi Pan Connector — 1/1 variants, 2 images, 1 variant images
[2026-09-26T13:02:22.068Z] ✓ ONLY OPENED - Round Soft Close Toilet Seat with Quick Release - Roma — 2/2 variants, 5 images, 2 variant images
[2026-09-26T13:02:23.199Z] ✓ McAlpine WC-CON8 90° WC Pan Connector — 1/1 variants, 2 images, 1 variant images
[2026-09-26T13:02:27.214Z] ✓ Grohe Solido 1.13m 4-in-1 Set Support Low Noise Frame for Wall Hung WC with Chrome Flush Plate — 1/1 variants, 5 images, 1 variant images
[2026-09-26T13:02:30.936Z] ✓ Wirquin Initio 1M Wall Hung Wc Frame 1.08 - 1.18M — 1/1 variants, 2 images, 1 variant images
[2026-09-26T13:02:32.675Z] ✓ 1160mm Wall Hung Toilet Frame with Brushed Bronze Pneumatiic Flush Plate & Concealed Cistern - Elira — 1/1 variants, 7 images, 1 variant images
[2026-09-26T13:02:37.454Z] ✓ Arissa Manual Push Button and Cistern — 2/2 variants, 5 images, 2 variant images
[2026-09-26T13:02:37.883Z] ✓ 1168mm Wall Hung Toilet Frame & Black Mechanical Flush Plate with Concealed Cistern - Zana — 1/1 variants, 6 images, 1 variant images
[2026-09-26T13:02:41.624Z] ✓ Grohe Conceled Cistern 0.82m 3 in 1 Low Noise Support Frame for Wall Hung WC — 1/1 variants, 7 images, 1 variant images
[2026-09-26T13:02:43.478Z] ✓ McAlpine MACFIT MAC-1 Straight WC Pan Connector — 1/1 variants, 1 images, 1 variant images
[2026-09-26T13:02:47.444Z] ✓ Wirquin Initio Compact WC Frame with Black Flush Plate — 1/1 variants, 5 images, 1 variant images
[2026-09-26T13:02:58.273Z] ✓ 1168mm Wall Hung Toilet Frame & Mechanical Dual Flush Plate with Concealed Cistern - Zana — 2/2 variants, 7 images, 2 variant images
[2026-09-26T13:02:58.274Z] progress 850/1501 (ok 843, warnings 0, failed 7)
[2026-09-26T13:03:01.477Z] ✓ Wall Hung Toilet Frame & Pnuematic Dual Flush Plate with Concealed Cistern - Elira — 3/3 variants, 9 images, 3 variant images
[2026-09-26T13:03:03.136Z] ✓ Wall Hung Toilet Frame & Pneumatic Flush Plate with Concealed Cistern - Elira — 2/2 variants, 8 images, 2 variant images
[2026-09-26T13:03:06.715Z] ✓ 820mm Wall Hung Toilet Frame & Glass Sensor Dual Flush Plate with Concealed Cistern - Purificare — 2/2 variants, 8 images, 2 variant images
[2026-09-26T13:03:09.730Z] ✓ 820mm Wall Hung Toilet Frame with Gunmetal Pneumatic Dual Flush Plate & Concelead Cistern - Elira — 1/1 variants, 7 images, 1 variant images
[2026-09-26T13:03:17.699Z] ✓ Wall Hung Toilet Frame & Pneumatic Dual Flush Plate with Concealed Cistern - Elira — 3/3 variants, 9 images, 3 variant images
[2026-09-26T13:03:25.653Z] ✓ White Wall Hung Basin with 1 Tap Hole 570mm - Ripley — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:03:26.078Z] ✓ Round Countertop Basin 415mm - Arabella — 2/2 variants, 6 images, 2 variant images
[2026-09-26T13:03:26.531Z] ✓ 1168mm Wall Hung Toilet Frame & Glass Sensor Flush Plate with Concealed Cistern - Elira — 2/2 variants, 11 images, 2 variant images
[2026-09-26T13:03:30.031Z] ✓ Cloakroom Wall Hung Basin 450mm - Atlanta — 2/2 variants, 6 images, 2 variant images
[2026-09-26T13:03:35.852Z] ✓ 1180mm Wall Hung Toilet Frame & Satin Dual Flush Plate with Concealed Cistern - Live Your Colour — 1/1 variants, 6 images, 1 variant images
[2026-09-26T13:03:36.263Z] ✓ Grohe Solido 1.13m 3-in-1 Set Support Frame for Wall Hung WC with Black Flush Plate — 1/1 variants, 2 images, 1 variant images
[2026-09-26T13:03:39.583Z] ✓ White Rectangular Countertop Basin 497mm - Bowen — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:03:45.046Z] ✓ 450mm Traditional Full Pedestal Cloakroom Basin with 2 Tap Holes - Park Royal — 1/1 variants, 6 images, 1 variant images
[2026-09-26T13:03:49.304Z] ✓ Rectangular Countertop Basin 361mm - Vida — 2/2 variants, 6 images, 2 variant images
[2026-09-26T13:03:57.366Z] ✓ Round Countertop Basin 388mm - Alaska — 3/3 variants, 6 images, 3 variant images
[2026-09-26T13:04:00.382Z] ✓ Wall Hung Basin 600mm - Atlanta — 2/2 variants, 6 images, 2 variant images
[2026-09-26T13:04:05.344Z] ✓ White Rectangular Wall Hung Basin with Hidden Waste - Oslo — 3/3 variants, 6 images, 3 variant images
[2026-09-26T13:04:09.872Z] ✓ Round Countertop Basin Fluted 360mm - Oregon — 2/2 variants, 5 images, 2 variant images
[2026-09-26T13:04:17.484Z] ✓ Oval Countertop Basin - Shell — 4/4 variants, 10 images, 4 variant images
[2026-09-26T13:04:20.920Z] ✓ 600mm Full Pedestal Basin with 1 Tap Hole - Atlanta — 2/2 variants, 7 images, 2 variant images
[2026-09-26T13:04:25.992Z] ✓ Cloakroom Wall Hung Basin 405mm - Detroit — 2/2 variants, 7 images, 2 variant images
[2026-09-26T13:04:29.215Z] ✓ Beige Unglazed Round Countertop Basin 410mm - Fawn — 1/1 variants, 5 images, 1 variant images
[2026-09-26T13:04:30.654Z] ✓ 450mm Full Pedestal Cloakroom Basin with 1 Tap Hole - Atlanta — 2/2 variants, 7 images, 2 variant images
[2026-09-26T13:04:35.045Z] ✓ 450mm Semi Pedestal Cloakroom Basin with 1 Tap Hole - Atlanta — 1/1 variants, 6 images, 1 variant images
[2026-09-26T13:04:38.946Z] ✓ Rectangular Countertop Basin - Corey — 4/4 variants, 7 images, 4 variant images
[2026-09-26T13:04:38.946Z] progress 875/1501 (ok 868, warnings 0, failed 7)
[2026-09-26T13:04:40.090Z] ✓ 600mm Semi Pedestal Basin with 1 Tap Hole - Atlanta — 1/1 variants, 6 images, 1 variant images
[2026-09-26T13:04:44.850Z] ✓ White Wall Hung Basin with 2 Tap Holes 583mm - Park Royal — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:04:50.176Z] ✓ Modern Pedestal Basin 570mm - Ashford — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:04:52.717Z] ✓ Traditional 1 Tap Hole Basin with Wash Stand 570mm - Ripley — 3/3 variants, 8 images, 3 variant images
[2026-09-26T13:04:53.462Z] ✓ Matt White Oval Stone Resin Countertop Basin with Waste 500mm - Opal — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:04:59.349Z] ✓ White Oval Fluted Countertop Basin 573mm - Oregon — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:05:00.819Z] ✓ Square Countertop Basin 350mm - Corey — 2/2 variants, 5 images, 2 variant images
[2026-09-26T13:05:02.137Z] ✓ Matt White Oval Stone Resin Countertop Basin with Waste 560mm - Almas — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:05:02.590Z] ✓ White Wall Hung Corner Traditional Basin 553mm - Elton — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:05:10.209Z] ✓ Grohe Bau Wall Hung Basin 550mm — 1/1 variants, 10 images, 1 variant images
[2026-09-26T13:05:11.413Z] ✓ White Round Wall Hung Basin 607mm - Milos — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:05:18.427Z] ✓ Modern Semi Pedestal Basin 550mm - Addison — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:05:20.185Z] ✓ Round Chevron Countertop Basin 360mm - Sonoma — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:05:25.609Z] ✓ Square Wall Hung Basin with Rack 497mm - Bowen — 4/4 variants, 8 images, 4 variant images
[2026-09-26T13:05:26.047Z] ✓ Oval Countertop Basin 525mm - Tennessee — 2/2 variants, 6 images, 2 variant images
[2026-09-26T13:05:26.818Z] ✓ Square Countertop Basin 423mm - Clifton — 1/1 variants, 5 images, 1 variant images
[2026-09-26T13:05:29.060Z] ✓ White Wall Hung Basin with 1 Tap Hole 583mm - Park Royal — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:05:34.701Z] ✓ Rectangular Countertop Basin 550mm - Clifton — 1/1 variants, 5 images, 1 variant images
[2026-09-26T13:05:37.758Z] ✓ 550mm Full Pedestal Basin with 1 Tap Hole - Addison — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:05:40.429Z] ✓ Wall Hung Corner Basin 440mm with Brass Tap Bottle Trap and Waste - Theo — 1/1 variants, 11 images, 1 variant images
[2026-09-26T13:05:43.979Z] ✓ 506mm Traditional Full Pedestal Cloakroom Basin with 2 Tap Holes - Ripley — 1/1 variants, 6 images, 1 variant images
[2026-09-26T13:05:46.710Z] ✓ Matt White Round Stone Resin Countertop Basin with Waste 420mm - Jade — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:05:47.744Z] ✓ 500mm 1 Tap Hole Basin with Wash Stand - Bowen — 2/2 variants, 7 images, 2 variant images
[2026-09-26T13:05:49.682Z] ✓ 583mm Traditional Full Pedestal Basin with 2 Tap Holes - Park Royal — 1/1 variants, 6 images, 1 variant images
[2026-09-26T13:05:55.881Z] ✓ Round Wall Hung Cloakroom Basin with Shelf 550mm - Alcor — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:05:55.881Z] progress 900/1501 (ok 893, warnings 0, failed 7)
[2026-09-26T13:06:03.552Z] ✓ White Rectangular Countertop Basin 765mm - Logan — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:06:05.094Z] ✓ Round Countertop Basin 390mm - Lorano — 2/2 variants, 6 images, 2 variant images
[2026-09-26T13:06:09.004Z] ✓ Cloakroom Wall Hung Basin 330mm - Houston — 2/2 variants, 4 images, 2 variant images
[2026-09-26T13:06:10.583Z] ✓ Square Wall Hung Basin 497mm - Bowen — 2/2 variants, 5 images, 2 variant images
[2026-09-26T13:06:12.204Z] ✓ White Rectangular Wall Hung Basin 1020mm - Logan — 1/1 variants, 5 images, 1 variant images
[2026-09-26T13:06:14.291Z] ✓ 570mm Traditional Full Pedestal Basin with 2 Tap Holes - Ripley — 1/1 variants, 7 images, 1 variant images
[2026-09-26T13:06:18.638Z] ✓ 570mm Traditional Full Pedestal Basin with 1 Tap Hole - Ripley — 1/1 variants, 7 images, 1 variant images
[2026-09-26T13:06:20.531Z] ✓ White Wall Hung Basin One Piece 380mm - Diaz — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:06:27.320Z] ✓ Amber Round Transparent Resin Countertop Basin 400mm - Aurea — 1/1 variants, 5 images, 1 variant images
[2026-09-26T13:06:28.538Z] ✓ Matt White Round Stone Resin Deep Countertop Basin with Waste 400mm - Jasper — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:06:34.922Z] ✓ Round Countertop Basin 400mm - Zorah — 2/2 variants, 7 images, 2 variant images
[2026-09-26T13:06:35.782Z] ✓ Ideal Standard i.Life B 1 Tap Hole Full Pedestal Basin — 4/4 variants, 7 images, 4 variant images
[2026-09-26T13:06:47.115Z] ✓ 570mm Traditional 2 Tap Holes Basin with Wash Stand - Ripley — 2/2 variants, 7 images, 2 variant images
[2026-09-26T13:06:48.723Z] ✓ Ideal Standard i.Life A 1 Tap Hole Semi Pedestal Basin — 2/2 variants, 6 images, 2 variant images
[2026-09-26T13:06:55.078Z] ✓ Ideal Standard i.Life S Compact 1 Tap Hole Semi Pedestal Basin — 3/3 variants, 7 images, 3 variant images
[2026-09-26T13:06:56.572Z] ✓ 570mm Semi Pedestal Basin with 1 Tap Hole - Ashford — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:06:58.029Z] ✓ 583mm Traditional Semi Pedestal Basin with 2 Tap Holes - Park Royal — 1/1 variants, 6 images, 1 variant images
[2026-09-26T13:07:00.147Z] ✓ Detroit Wall Hung Basin With Bottle Trap & Basin Mixer & Waste - Zana — 3/3 variants, 13 images, 3 variant images
[2026-09-26T13:07:05.142Z] ✓ 583mm Traditional Full Pedestal Basin with 1 Tap Hole - Park Royal — 1/1 variants, 6 images, 1 variant images
[2026-09-26T13:07:06.246Z] ✓ Square Countertop Basin 395mm - Dover — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:07:07.893Z] ✓ 570mm Traditional Semi Pedestal Basin with 2 Tap Holes - Ripley — 1/1 variants, 7 images, 1 variant images
[2026-09-26T13:07:14.206Z] ✓ Rectangular Fluted Wall Hung Basin 410mm with Brass Tap Bottle Trap and Waste - Oregon — 1/1 variants, 11 images, 1 variant images
[2026-09-26T13:07:14.807Z] ✓ 615mm Full Pedestal Basin with 1 Tap Hole - Roma — 1/1 variants, 5 images, 1 variant images
[2026-09-26T13:07:16.497Z] ✓ 615mm Semi Pedestal Basin with 1 Tap Hole - Roma — 1/1 variants, 5 images, 1 variant images
[2026-09-26T13:07:22.984Z] ✓ Amber Rectangular Transparent Resin Countertop Basin 600mm - Aurea — 1/1 variants, 5 images, 1 variant images
[2026-09-26T13:07:22.986Z] progress 925/1501 (ok 918, warnings 0, failed 7)
[2026-09-26T13:07:24.119Z] ✓ Matt White Oval Stone Resin Freestanding Pedestal Basin with Waste 660mm - Harley — 1/1 variants, 4 images, 1 variant images
[2026-09-26T13:07:29.240Z] ✓ Ideal Standard i.Life S Compact 1 Tap Hole Full Pedestal Basin — 3/3 variants, 7 images, 3 variant images
[2026-09-26T13:07:31.525Z] ✓ 570mm Traditional Semi Pedestal Basin with 1 Tap Hole - Ripley — 1/1 variants, 7 images, 1 variant images
[2026-09-26T13:07:32.581Z] ✓ Grohe Cube Rectangular Wall Hung Basin 600mm — 1/1 variants, 6 images, 1 variant images
[2026-09-26T13:07:37.950Z] ✓ 583mm Traditional Semi Pedestal Basin with 1 Tap Hole - Park Royal — 1/1 variants, 6 images, 1 variant images
[2026-09-26T13:07:39.137Z] ✓ Ideal Standard i.Life A 1 Tap Hole Full Pedestal Basin — 2/2 variants, 4 images, 2 variant images
[2026-09-26T13:07:40.718Z] ✓ Stone Effect Round Countertop Basin 415mm - Torres — 1/1 variants, 5 images, 1 variant images
[2026-09-26T13:07:42.020Z] ✓ 400mm Matt White Round Stone Resin Freestanding Cylinder Pedestal Basin with Waste - Ruby — 1/1 variants, 5 images, 1 variant images
[2026-09-26T13:07:58.149Z] ✓ 1.5 Bowl Undermount Granite Composite Kitchen Sink with Waste Kit - Enza Eden — 2/2 variants, 6 images, 2 variant images
[2026-09-26T13:07:58.816Z] ✓ Single Bowl Inset Composite Kitchen Sink with Reversible Drainer - Essence Amelia — 4/4 variants, 8 images, 4 variant images
