[2026-09-26T15:23:09.276Z] variant photo sets for 1 Better Bathrooms products
[2026-09-26T15:23:18.122Z] ✓ Wall Hung Vanity Unit with Basin - Pendle — 9 variants, 5-5 photos each, 32 uploaded, 45 media total
[2026-09-26T15:40:15.022Z] ✓ Eco Eleganza Horizontal Flat Designer Aluminium Radiator — 9 variants, 6-6 photos each, 40 uploaded, 54 media total
[2026-09-26T15:40:17.956Z] ✓ electriQ Smart Modern LCD TRV Thermostatic Radiator Valves Tuya Zigbee Version — 3 variants, 7-7 photos each, 12 uploaded, 21 media total
[2026-09-26T15:40:18.815Z] ✓ electriQ Smart Modern LED TRV Thermostatic Radiator Valves Wi-Fi Version — 2 variants, 7-8 photos each, 7 uploaded, 15 media total
[2026-09-26T15:40:23.980Z] ✓ Elego Modern TRV Angled Thermostatic Radiator Valves With Lockshield — 4 variants, 4-8 photos each, 13 uploaded, 24 media total
[2026-09-26T15:40:27.661Z] ✓ Elego Modern TRV H Block Thermostatic Radiator Valves — 21 variants, 4-8 photos each, 102 uploaded, 128 media total
[2026-09-26T15:40:28.001Z] ✓ Elego Dual Fuel T Piece — 3 variants, 2-2 photos each, 2 uploaded, 6 media total
[2026-09-26T15:40:32.401Z] ✓ Elego Modern TRV Straight Thermostatic Radiator Valves With Lockshield — 18 variants, 4-8 photos each, 77 uploaded, 102 media total
[2026-09-26T15:40:37.403Z] ✓ Elego Modern Manual Angled Radiator Valves (pair) — 8 variants, 4-8 photos each, 37 uploaded, 48 media total
[2026-09-26T15:40:37.991Z] ✓ Elego Modern Manual Angled Radiator Valves (pair) — 4 variants, 4-8 photos each, 17 uploaded, 24 media total
[2026-09-26T15:40:39.818Z] ✓ Elego White Modern TRV Straight Thermostatic Radiator Valves With Lockshield — 2 variants, 4-4 photos each, 3 uploaded, 8 media total
[2026-09-26T15:40:41.759Z] ✓ Elego Modern Manual Angled Radiator Valves Pair — 15 variants, 4-8 photos each, 70 uploaded, 88 media total
[2026-09-26T15:40:44.516Z] ✓ Elego Modern TRV Straight Thermostatic Radiator Valves With Lockshield — 2 variants, 4-4 photos each, 3 uploaded, 8 media total
[2026-09-26T15:40:44.848Z] ✓ 820mm Wall Hung Toilet Frame & Glass Sensor Dual Flush Plate with Concealed Cistern - Purificare — 2 variants, 7-7 photos each, 4 uploaded, 12 media total
[2026-09-26T15:40:47.397Z] ✓ Wall Hung Toilet Frame & Pnuematic Dual Flush Plate with Concealed Cistern - Elira — 3 variants, 7-7 photos each, 11 uploaded, 20 media total
[2026-09-26T15:40:49.222Z] ✓ Wall Hung Toilet Frame & Pneumatic Dual Flush Plate with Concealed Cistern - Elira — 3 variants, 7-7 photos each, 12 uploaded, 21 media total
[2026-09-26T15:40:53.737Z] ✓ Elk Brown Horizontal Smart Electric Radiator with Wi-Fi Thermostat - Bathroom Safe — 4 variants, 5-5 photos each, 12 uploaded, 20 media total
[2026-09-26T15:40:53.807Z] ✓ Elk Brown Vertical Smart Electric Radiator with Wi-Fi Thermostat - Bathroom Safe — 4 variants, 5-5 photos each, 12 uploaded, 20 media total
[2026-09-26T15:40:56.810Z] ✓ Single Lever Monobloc Kitchen Mixer Tap - Enza Elwood — 5 variants, 3-3 photos each, 8 uploaded, 15 media total
[2026-09-26T15:40:57.093Z] ✓ Single Lever Pull Out Traditional Monobloc Kitchen Mixer Tap - Enza Evelyn — 3 variants, 4-4 photos each, 5 uploaded, 11 media total
[2026-09-26T15:41:04.329Z] ✓ Evergreen Horizontal Smart Electric Radiator with Wi-Fi Thermostat - Bathroom Safe — 5 variants, 5-5 photos each, 16 uploaded, 25 media total
[2026-09-26T15:41:04.692Z] ✓ Evergreen Vertical Smart Electric Radiator with Wi-Fi Thermostat - Bathroom Safe — 4 variants, 5-5 photos each, 12 uploaded, 20 media total
[2026-09-26T15:41:05.504Z] ✓ 1 Outlet Exposed Thermostatic Shower Valve - Volta — 3 variants, 3-3 photos each, 4 uploaded, 9 media total
[2026-09-26T15:41:06.190Z] ✓ 2 Outlet Concealed Thermostatic Shower Valve with Integrated Hand Shower - Arissa — 4 variants, 2-5 photos each, 3 uploaded, 11 media total
[2026-09-26T15:41:06.190Z] progress 350/629 (ok 350, failed 0, uploaded 4860)
[2026-09-26T15:41:07.594Z] ✓ 3 Outlet Triple Handle Thermostatic Concealed Shower Valve - Arissa — 2 variants, 2-2 photos each, 1 uploaded, 4 media total
[2026-09-26T15:41:08.350Z] ✓ 2 Outlet Wall Mounted Thermostatic Mixer Shower Set with Integrated Hand Shower - Arissa — 4 variants, 3-11 photos each, 18 uploaded, 32 media total
[2026-09-26T15:41:09.114Z] ✓ Fluted Wall Hung Rimless Short Projection Toilet with Soft Close Seat - Oregon — 2 variants, 10-11 photos each, 7 uploaded, 19 media total
[2026-09-26T15:41:11.616Z] ✓ Fluted Wall Hung Rimless Toilet with Soft Close Seat, Mechanical Flush Plate, 1168mm Frame & Cistern - Oregon — 2 variants, 13-18 photos each, 7 uploaded, 26 media total
[2026-09-26T15:41:15.738Z] ✓ Freestanding Double Ended Bath - Rosa — 4 variants, 3-5 photos each, 10 uploaded, 16 media total
[2026-09-26T15:41:18.733Z] ✓ Fluted Wall Hung Rimless Toilet with Soft Close Seat, Glass Sensor Flush Plate, Frame & Cistern - Oregon — 6 variants, 15-17 photos each, 44 uploaded, 65 media total
[2026-09-26T15:41:20.012Z] ✓ Freestanding Double Ended Back to Wall Bath - Alto — 2 variants, 5-7 photos each, 4 uploaded, 12 media total
[2026-09-26T15:41:22.316Z] ✓ Freestanding Double Ended Bath - Riley — 2 variants, 4-6 photos each, 3 uploaded, 10 media total
[2026-09-26T15:41:23.555Z] ✓ Freestanding Double Ended Bath 1650 x 780mm - Arcus — 2 variants, 5-5 photos each, 4 uploaded, 10 media total
[2026-09-26T15:41:26.762Z] ✓ Freestanding Single Ended Corner Bath 1600 x 780mm - Cove — 2 variants, 7-8 photos each, 7 uploaded, 15 media total
[2026-09-26T15:41:30.521Z] ✓ Fluted Wall Hung Rimless Toilet with Soft Close Seat, Pneumatic Flush Plate, Frame & Cistern - Oregon — 13 variants, 13-17 photos each, 90 uploaded, 115 media total
[2026-09-26T15:41:31.509Z] ✓ Freestanding Double Ended Roll Top Bath with Feet - Park Royal — 23 variants, 4-8 photos each, 100 uploaded, 128 media total
[2026-09-26T15:41:35.455Z] ✓ Freestanding Double Ended Stone Resin Solid Surface Bath - Opal — 2 variants, 8-8 photos each, 7 uploaded, 16 media total
[2026-09-26T15:41:37.842Z] ✓ Freestanding Shower Bath Single Ended Corner with Bath Screen 1600 x 780mm - Cove — 6 variants, 9-11 photos each, 32 uploaded, 48 media total
[2026-09-26T15:41:38.304Z] ✓ Freestanding Back to Wall Double Ended Bath - Manilla — 3 variants, 3-5 photos each, 7 uploaded, 12 media total
[2026-09-26T15:41:39.980Z] ✓ Freestanding Shower Bath Single Ended Corner with Bath Screen 1700 x 750mm - Vigo — 6 variants, 6-8 photos each, 18 uploaded, 29 media total
[2026-09-26T15:41:43.487Z] ✓ Freestanding Single Ended Corner Shower Bath with Bath Screen with Fixed Panel & Towel Rail 1500 x 740mm - Kona — 4 variants, 11-14 photos each, 22 uploaded, 37 media total
[2026-09-26T15:41:43.766Z] ✓ Freestanding Shower Bath Single Ended Corner with Bath Screen 1650 x 740mm - Lisbon — 6 variants, 7-7 photos each, 30 uploaded, 42 media total
[2026-09-26T15:41:44.557Z] ✓ Freestanding Single Ended Corner Shower Bath with Bath Screen with Fixed Panel & Towel Rail 1650 x 800mm - Amaro — 4 variants, 11-12 photos each, 15 uploaded, 29 media total
[2026-09-26T15:41:48.751Z] ✓ Freestanding Single Ended Corner Shower Bath with Bath Screen with Towel Rail - Kona — 4 variants, 10-11 photos each, 11 uploaded, 25 media total
[2026-09-26T15:41:54.173Z] ✓ Freestanding Single Ended Corner Shower Bath with Sliding Bath Screen 1650 x 800mm - Amaro — 4 variants, 10-12 photos each, 13 uploaded, 26 media total
[2026-09-26T15:41:55.227Z] ✓ Freestanding Single Ended Fluted Corner Bath 1650 x 800mm With Bath Screen - Amaro — 6 variants, 6-6 photos each, 17 uploaded, 28 media total
[2026-09-26T15:41:57.232Z] ✓ Freestanding Single Ended Corner Bath 1650 x 740mm - Lisbon — 2 variants, 5-5 photos each, 4 uploaded, 10 media total
[2026-09-26T15:41:59.118Z] ✓ Freestanding Single Ended Shower Bath with Screen & Feet 1670 x 740 mm - Park Royal — 16 variants, 6-9 photos each, 102 uploaded, 124 media total
[2026-09-26T15:42:02.477Z] ✓ Freestanding Single Ended Corner Shower Bath with Bath Screen with Towel Rail 1650 x 800mm - Amaro — 4 variants, 9-10 photos each, 12 uploaded, 25 media total
[2026-09-26T15:42:02.477Z] progress 375/629 (ok 375, failed 0, uploaded 5445)
[2026-09-26T15:42:02.757Z] ✓ Freestanding Single Ended Corner Bath 1500 x 740mm - Kona — 2 variants, 7-7 photos each, 6 uploaded, 14 media total
[2026-09-26T15:42:04.600Z] ✓ Gold Stone Wall Panel with Tongue and Groove - Wetwall — 2 variants, 5-5 photos each, 4 uploaded, 10 media total
[2026-09-26T15:42:06.031Z] ✓ Freestanding Double Ended Back to Wall Bath - Gable — 2 variants, 6-7 photos each, 5 uploaded, 13 media total
[2026-09-26T15:42:06.448Z] ✓ Freestanding Shower Bath Single Ended Corner with Bath Screen 1500 x 740mm - Kona — 6 variants, 7-11 photos each, 26 uploaded, 38 media total
[2026-09-26T15:42:10.145Z] ✓ ONLY OPENED - Round Soft Close Toilet Seat with Quick Release - Roma — 2 variants, 4-4 photos each, 3 uploaded, 8 media total
[2026-09-26T15:42:11.425Z] ✓ Grey Fumo Wall Panel with Tongue and Groove - Wetwall — 2 variants, 5-5 photos each, 4 uploaded, 10 media total
[2026-09-26T15:42:12.934Z] ✓ Marble PVC Shower Wall Panel - 2400 x 1000mm — 3 variants, 3-4 photos each, 6 uploaded, 11 media total
[2026-09-26T15:42:13.188Z] ✓ Grey Marmo Linea Wall Panel with Tongue and Groove - Wetwall — 2 variants, 6-6 photos each, 5 uploaded, 12 media total
[2026-09-26T15:42:16.957Z] ✓ Grey Scafell Slate Wall Panel with Tongue and Groove - Wetwall — 2 variants, 6-6 photos each, 5 uploaded, 12 media total
[2026-09-26T15:42:18.021Z] ✓ GROHE QuickFix Precision Start Thermostatic Shower Mixer — 2 variants, 9-10 photos each, 8 uploaded, 19 media total
[2026-09-26T15:42:19.614Z] ✓ Easy Clean Click Clack Bath Waste with Overflow - Arissa — 5 variants, 2-4 photos each, 6 uploaded, 12 media total
[2026-09-26T15:42:20.598Z] ✓ Bath Waste Cover Upgrade — 5 variants, 4-6 photos each, 19 uploaded, 27 media total
[2026-09-26T15:42:23.528Z] ✓ Cloakroom Mono Basin Mixer Tap - Zana — 3 variants, 3-4 photos each, 5 uploaded, 11 media total
[2026-09-26T15:42:24.567Z] ✓ Freestanding Bath Shower Mixer - Zana — 3 variants, 4-4 photos each, 6 uploaded, 12 media total
[2026-09-26T15:42:26.185Z] ✓ Shower Hand Shower with Wall Bracket - Arissa — 2 variants, 2-2 photos each, 1 uploaded, 4 media total
[2026-09-26T15:42:27.336Z] ✓ Knurled Towel Hook - Arissa — 2 variants, 4-4 photos each, 3 uploaded, 8 media total
[2026-09-26T15:42:30.157Z] ✓ Tall Mono Basin Mixer Tap - Zana — 3 variants, 3-4 photos each, 5 uploaded, 11 media total
[2026-09-26T15:42:31.180Z] ✓ Dual Lever Kitchen Mixer Tap - Essence Hector — 3 variants, 3-4 photos each, 5 uploaded, 11 media total
[2026-09-26T15:42:33.989Z] ✓ Bath Shower Mixer and Basin Tap Set - Helston — 3 variants, 5-7 photos each, 10 uploaded, 18 media total
[2026-09-26T15:42:35.442Z] ✓ Freestanding Bath Shower Mixer Tap with Stand Pipes - Helston — 4 variants, 6-7 photos each, 15 uploaded, 25 media total
[2026-09-26T15:42:40.860Z] ✓ 350mm Ideal Standard Eurovit+ Wall Hung Vanity Unit with Basin — 4 variants, 6-6 photos each, 15 uploaded, 24 media total
[2026-09-26T15:42:41.620Z] ✓ Horizontal Smart Electric Radiator with Wi-Fi Thermostat - Bathroom Safe — 14 variants, 5-9 photos each, 63 uploaded, 82 media total
[2026-09-26T15:42:47.889Z] ✓ Reggio Vertical Double Column Traditional Radiator - Cast Iron Style — 23 variants, 5-5 photos each, 88 uploaded, 115 media total
[2026-09-26T15:42:50.275Z] ✓ Ideal Standard i.Life A 1 Tap Hole Full Pedestal Basin — 2 variants, 3-6 photos each, 5 uploaded, 9 media total
[2026-09-26T15:42:52.730Z] ✓ Ideal Standard Eurovit+ Wall Hung Vanity Unit with Basin — 6 variants, 6-6 photos each, 25 uploaded, 36 media total
[2026-09-26T15:42:52.731Z] progress 400/629 (ok 400, failed 0, uploaded 5788)
[2026-09-26T15:42:54.809Z] ✓ Reggio Vertical Triple Column Traditional Radiator - Cast Iron Style — 21 variants, 5-5 photos each, 80 uploaded, 105 media total
[2026-09-26T15:42:55.128Z] ✓ Ideal Standard i.Life A 1 Tap Hole Semi Pedestal Basin — 2 variants, 5-5 photos each, 4 uploaded, 10 media total
[2026-09-26T15:42:56.980Z] ✓ Ideal Standard i.Life B 1 Tap Hole Full Pedestal Basin — 4 variants, 4-4 photos each, 9 uploaded, 16 media total
[2026-09-26T15:42:59.469Z] ✓ Ideal Standard i.Life S Compact 1 Tap Hole Full Pedestal Basin — 3 variants, 5-8 photos each, 13 uploaded, 20 media total
[2026-09-26T15:43:01.615Z] ✓ Ideal Standard i.Life S Compact 1 Tap Hole Semi Pedestal Basin — 3 variants, 5-5 photos each, 8 uploaded, 15 media total
[2026-09-26T15:43:01.882Z] ✓ Round Backlit Heated Bathroom Mirror with Lights - Luna — 3 variants, 4-7 photos each, 9 uploaded, 18 media total
[2026-09-26T15:43:03.949Z] ✓ Sensio Libra Rectangular Heated Bathroom Mirror with Lights Ultra Slim — 2 variants, 3-5 photos each, 2 uploaded, 8 media total
[2026-09-26T15:43:06.608Z] ✓ 600mm Linear Waste Cover - Lagoon — 2 variants, 2-2 photos each, 1 uploaded, 4 media total
[2026-09-26T15:43:09.784Z] ✓ 90mm Linear Waste Pack with Grill - Cascade — 3 variants, 4-4 photos each, 6 uploaded, 12 media total
[2026-09-26T15:43:10.546Z] ✓ L Shaped Shower Bath with Front Panel & Bath Screen, - Lomax — 7 variants, 7-11 photos each, 34 uploaded, 51 media total
[2026-09-26T15:43:13.145Z] ✓ L Shaped Shower Bath with Front Panel & Bath Screen with Towel Rail, - Lomax — 5 variants, 9-11 photos each, 26 uploaded, 41 media total
[2026-09-26T15:43:17.349Z] ✓ Freestanding Double Ended Bath - Lisbon — 13 variants, 4-11 photos each, 69 uploaded, 88 media total
[2026-09-26T15:43:19.281Z] ✓ Lomax L Shape 1450mm 6mm Bath Screen with Towel Rail — 2 variants, 4-5 photos each, 4 uploaded, 9 media total
[2026-09-26T15:43:21.820Z] ✓ Maesta Traditional Manual Angled Radiator Valves With Lockshield — 3 variants, 6-8 photos each, 12 uploaded, 20 media total
[2026-09-26T15:43:22.084Z] ✓ 3 Function Round Slide Rail Kit - Arissa — 2 variants, 6-7 photos each, 5 uploaded, 13 media total
[2026-09-26T15:43:24.229Z] ✓ Maesta Traditional TRV Straight Thermostatic Radiator Valves With Lockshield — 21 variants, 4-9 photos each, 110 uploaded, 138 media total
[2026-09-26T15:43:29.255Z] ✓ Maesta Traditional TRV Angled Thermostatic Radiator Valves With Lockshield — 7 variants, 4-9 photos each, 35 uploaded, 48 media total
[2026-09-26T15:43:29.847Z] ✓ 3 Outlet Traditional Thermostatic Bar Mixer Shower Set with Bath Filler Spout & Hand Shower - Camden — 3 variants, 4-4 photos each, 6 uploaded, 12 media total
[2026-09-26T15:43:30.597Z] ✓ Cloakroom Wall Hung Basin 330mm - Houston — 2 variants, 3-6 photos each, 5 uploaded, 9 media total
[2026-09-26T15:43:32.733Z] ✓ Back To Wall Smart Bidet Japanese Toilet With Glass Cabinet, Frame, Cistern & Pneumatic Dual Flush Button - Purificare — 2 variants, 8-8 photos each, 5 uploaded, 14 media total
[2026-09-26T15:43:32.991Z] ✓ Fluted Mono Basin Mixer Tap with Waste - Arissa — 3 variants, 4-4 photos each, 6 uploaded, 12 media total
[2026-09-26T15:43:37.342Z] ✓ Exposed Bath Waste & Exposed Bath Trap - Park Royal — 3 variants, 6-6 photos each, 8 uploaded, 16 media total
[2026-09-26T15:43:38.657Z] ✓ Fluted Cloakroom Mono Basin Mixer Tap with Waste - Arissa — 3 variants, 4-4 photos each, 6 uploaded, 12 media total
[2026-09-26T15:43:40.137Z] ✓ Fluted Tall Mono Basin Mixer Tap - Arissa — 2 variants, 4-4 photos each, 3 uploaded, 8 media total
[2026-09-26T15:43:40.381Z] ✓ Fluted Wall Mounted Basin Mixer Tap - Arissa — 2 variants, 4-4 photos each, 3 uploaded, 8 media total
[2026-09-26T15:43:40.381Z] progress 425/629 (ok 425, failed 0, uploaded 6257)
[2026-09-26T15:43:42.926Z] ✓ Overflow Cover Suitable for Ontario Palma & Roma — 2 variants, 3-3 photos each, 2 uploaded, 6 media total
[2026-09-26T15:43:44.843Z] ✓ Freestanding Double Ended Back to Wall Bath - Oslo — 3 variants, 6-6 photos each, 10 uploaded, 18 media total
[2026-09-26T15:43:46.047Z] ✓ Push Button 2 Outlet Concealed Mixer Shower Valve With Glass Front - Priya — 2 variants, 2-3 photos each, 1 uploaded, 5 media total
[2026-09-26T15:43:46.329Z] ✓ Push Button 3 Outlet Concealed Mixer Shower Valve With Glass Front - Priya — 2 variants, 2-3 photos each, 0 uploaded, 4 media total
[2026-09-26T15:43:48.866Z] ✓ Freestanding Single Ended Corner Bath - Amaro — 8 variants, 5-10 photos each, 43 uploaded, 57 media total
[2026-09-26T15:43:49.595Z] ✓ Sliding Bath Screen - Denver — 3 variants, 4-4 photos each, 2 uploaded, 8 media total
[2026-09-26T15:43:52.019Z] ✓ Black Straight Grab Rail - Nymas — 3 variants, 3-3 photos each, 4 uploaded, 9 media total
[2026-09-26T15:43:55.673Z] ✓ Freestanding Shower Bath Single Ended Corner with Bath Screen - Amaro — 23 variants, 6-10 photos each, 110 uploaded, 139 media total
[2026-09-26T15:43:56.245Z] ✓ 2 Outlet Thermostatic Bar Mixer Shower Set with Hand Shower - Arissa — 4 variants, 4-9 photos each, 18 uploaded, 28 media total
[2026-09-26T15:43:58.159Z] ✓ Traditional Bath Filler - Helston — 3 variants, 3-4 photos each, 5 uploaded, 11 media total
[2026-09-26T15:44:01.257Z] ✓ Wall Hung Rimless Toilet with Soft Close Seat, Glass Sensor Flush Plate, Frame & Cistern - Newport — 4 variants, 14-14 photos each, 28 uploaded, 45 media total
[2026-09-26T15:44:02.842Z] ✓ Wall Hung Rimless Toilet with Soft Close Seat, Mechanical Flush Plate, 1168mm Frame & Cistern - Newport — 3 variants, 13-13 photos each, 8 uploaded, 23 media total
[2026-09-26T15:44:04.980Z] ✓ Wall Hung Smart Bidet Japanese Toilet & 1160mm Frame Cistern and Mechanical Flush Plate - Purificare — 3 variants, 10-11 photos each, 7 uploaded, 20 media total
[2026-09-26T15:44:05.307Z] ✓ Wall Hung Rimless Toilet with Soft Close Seat, Pneumatic Flush Plate, Frame & Cistern - Newport — 6 variants, 13-13 photos each, 37 uploaded, 55 media total
[2026-09-26T15:44:08.426Z] ✓ Matt Black Wall Hung Smart Bidet Japanese Toilet & 1160mm Frame Cistern - Purificare — 7 variants, 11-11 photos each, 19 uploaded, 36 media total
[2026-09-26T15:44:09.366Z] ✓ Wall Hung Smart Bidet with, Pneumatic Flush Plate, 820mm Frame & Cistern - Purificare — 2 variants, 7-7 photos each, 1 uploaded, 8 media total
[2026-09-26T15:44:12.173Z] ✓ Wall Mounted Basin Tap - Zana — 2 variants, 4-4 photos each, 3 uploaded, 8 media total
[2026-09-26T15:44:12.522Z] ✓ Wall Hung Toilet with Soft Close Toilet Seat, Pneumatic Flush Plate, Frame & Cistern - Newport — 4 variants, 12-12 photos each, 12 uploaded, 27 media total
[2026-09-26T15:44:14.869Z] ✓ Wall Mounted Bath Filler 2 Holes - Como — 2 variants, 2-2 photos each, 1 uploaded, 4 media total
[2026-09-26T15:44:15.852Z] ✓ Bath Shower Mixer and Wall Mounted Basin Tap Set - Helston — 2 variants, 5-5 photos each, 4 uploaded, 10 media total
[2026-09-26T15:44:19.362Z] ✓ Wall Mounted Bath Spout - Arissa — 2 variants, 2-2 photos each, 1 uploaded, 4 media total
[2026-09-26T15:44:19.673Z] ✓ Wall Mounted Bath Tap - Zana — 2 variants, 4-4 photos each, 3 uploaded, 8 media total
[2026-09-26T15:44:21.636Z] ✓ Click Clack Unslotted Basin Waste - Arissa — 5 variants, 2-2 photos each, 4 uploaded, 10 media total
[2026-09-26T15:44:22.815Z] ✓ Matt White Freestanding Back to Wall Double Ended Bath - Rosa — 2 variants, 6-6 photos each, 5 uploaded, 12 media total
[2026-09-26T15:44:26.353Z] ✓ Freestanding Double Ended Bath with Ledge and Feet 1700 x 765mm - Clara — 2 variants, 7-7 photos each, 2 uploaded, 10 media total
[2026-09-26T15:44:26.354Z] progress 450/629 (ok 450, failed 0, uploaded 6587)
[2026-09-26T15:44:26.651Z] ✓ Round Countertop Basin 388mm - Alaska — 3 variants, 3-7 photos each, 7 uploaded, 13 media total
[2026-09-26T15:44:28.522Z] ✓ 450mm Full Pedestal Cloakroom Basin with 1 Tap Hole - Atlanta — 2 variants, 5-6 photos each, 2 uploaded, 9 media total
[2026-09-26T15:44:29.849Z] ✓ Modern Freestanding Bath Suite with Toilet & Basin - Lisbon — 4 variants, 10-10 photos each, 18 uploaded, 31 media total
[2026-09-26T15:44:33.376Z] ✓ 600mm Full Pedestal Basin with 1 Tap Hole - Atlanta — 2 variants, 5-6 photos each, 2 uploaded, 9 media total
[2026-09-26T15:44:34.381Z] ✓ Back to Wall Rimless Toilet with Soft Close Seat - Newport — 3 variants, 7-10 photos each, 17 uploaded, 26 media total
[2026-09-26T15:44:34.887Z] ✓ Pack of 3 Waterproof Slatted Wall Panels 2400 x 170 x 19mm — 4 variants, 3-3 photos each, 6 uploaded, 12 media total
[2026-09-26T15:44:37.476Z] ✓ Single Lever Pull Out Monobloc Kitchen Mixer Tap - Enza Olney — 4 variants, 3-5 photos each, 9 uploaded, 17 media total
[2026-09-26T15:44:40.184Z] ✓ Oval Backlit Heated Bathroom Mirror with Lights - Irena — 2 variants, 6-6 photos each, 5 uploaded, 12 media total
[2026-09-26T15:44:42.522Z] ✓ Oval Backlit Heated Bathroom Mirror with Lights - Venus — 3 variants, 6-7 photos each, 12 uploaded, 20 media total
[2026-09-26T15:44:44.577Z] ✓ Freestanding Double Ended Back to Wall Bath with Feet - Park Royal — 5 variants, 5-8 photos each, 21 uploaded, 31 media total
[2026-09-26T15:44:45.777Z] ✓ Back to Wall Traditional Toilet with Wooden Soft Close Seat and Hinges - Park Royal — 3 variants, 9-11 photos each, 16 uploaded, 28 media total
[2026-09-26T15:44:47.097Z] ✓ Traditional High Level Short Projection Toilet with Wooden Soft Close Seat - Park Royal — 2 variants, 11-16 photos each, 4 uploaded, 21 media total
[2026-09-26T15:44:51.370Z] ✓ Freestanding Single Ended Roll Top Slipper Bath with Feet 1615 x 690mm - Park Royal — 10 variants, 4-9 photos each, 30 uploaded, 48 media total
[2026-09-26T15:44:51.683Z] ✓ Glass Rectangular Sliding Shower Enclosure - Pavo — 3 variants, 3-4 photos each, 5 uploaded, 11 media total
[2026-09-26T15:44:53.109Z] ✓ Hinged Door Shower Enclosure Glass - Pavo — 2 variants, 5-6 photos each, 5 uploaded, 11 media total
[2026-09-26T15:44:54.224Z] ✓ Glass Rectangular Sliding Shower Enclosure with Shower Tray - Pavo — 3 variants, 9-9 photos each, 16 uploaded, 27 media total
[2026-09-26T15:44:58.084Z] ✓ Glass Quadrant Shower Enclosure - Pavo — 3 variants, 3-6 photos each, 3 uploaded, 10 media total
[2026-09-26T15:44:59.194Z] ✓ Glass Rectangular Sliding Shower Enclosure with Low Profile Shower Tray - Pavo — 3 variants, 10-13 photos each, 10 uploaded, 25 media total
[2026-09-26T15:44:59.830Z] ✓ Pebble Backlit Bathroom Mirror with Battery Operated Lights - Apollo — 2 variants, 9-9 photos each, 8 uploaded, 18 media total
[2026-09-26T15:45:01.345Z] ✓ Pebble Backlit Heated Bathroom Mirror with Lights - Apollo — 2 variants, 8-8 photos each, 7 uploaded, 16 media total
[2026-09-26T15:45:04.782Z] ✓ Pebble Backlit Heated Bathroom Mirror with Lights 760 x 800mm - Aster — 2 variants, 7-8 photos each, 6 uploaded, 15 media total
[2026-09-26T15:45:07.070Z] ✓ Pebble Frameless Bathroom Mirror - Apollo — 2 variants, 4-4 photos each, 3 uploaded, 8 media total
[2026-09-26T15:45:07.774Z] ✓ 500mm Back to Wall Toilet Unit Only - Pendle — 4 variants, 3-3 photos each, 6 uploaded, 12 media total
[2026-09-26T15:45:08.429Z] ✓ Small Deep Walk In Bath with Front Panel & Integrated Seat 1210 x 660mm - Princeton — 2 variants, 5-5 photos each, 4 uploaded, 10 media total
[2026-09-26T15:45:11.109Z] ✓ 3 In 1 Filtered Water Kitchen Mixer Tap - Pronto Elwood — 2 variants, 6-6 photos each, 4 uploaded, 11 media total
[2026-09-26T15:45:11.109Z] progress 475/629 (ok 475, failed 0, uploaded 6813)
[2026-09-26T15:45:14.894Z] ✓ Wall Hung Toilet Frame & Pneumatic Flush Plate with Concealed Cistern - Elira — 2 variants, 7-7 photos each, 6 uploaded, 14 media total
[2026-09-26T15:45:15.909Z] ✓ Ravello Vertical Square Designer Radiator — 2 variants, 5-5 photos each, 4 uploaded, 10 media total
[2026-09-26T15:45:16.686Z] ✓ Triton Push Button Bar Diverter Thermostatic Mixer Shower Set — 2 variants, 9-12 photos each, 11 uploaded, 21 media total
[2026-09-26T15:45:18.656Z] ✓ Rectangular Countertop Basin - Corey — 4 variants, 4-4 photos each, 9 uploaded, 16 media total
[2026-09-26T15:45:23.066Z] ✓ Rectangular Countertop Basin 361mm - Vida — 2 variants, 5-6 photos each, 5 uploaded, 11 media total
[2026-09-26T15:45:23.588Z] ✓ Rectangular Backlit Heated Bathroom Mirror with Lights - Vela — 2 variants, 7-7 photos each, 6 uploaded, 14 media total
[2026-09-26T15:45:23.634Z] ✓ Square Countertop Basin 350mm - Corey — 2 variants, 4-4 photos each, 3 uploaded, 8 media total
[2026-09-26T15:45:26.384Z] ✓ Rectangular Heated Bathroom Mirror with Lights & Magnifier - Odin — 2 variants, 6-6 photos each, 5 uploaded, 12 media total
[2026-09-26T15:45:27.248Z] ✓ Rectangular Backlit Heated Bathroom Mirror with Lights & Bluetooth Speaker - Vela — 2 variants, 6-8 photos each, 7 uploaded, 14 media total
[2026-09-26T15:45:27.527Z] ✓ Rectangular Angled Bathroom Mirror 500 x 800mm - Arissa — 4 variants, 6-6 photos each, 15 uploaded, 24 media total
[2026-09-26T15:45:28.265Z] ✓ Rectangular Backlit Heated Bathroom Mirror with Lights - Taurus — 6 variants, 6-7 photos each, 26 uploaded, 38 media total
[2026-09-26T15:45:29.974Z] ✓ Freestanding Double Ended Transparent Resin Bath 1700 x 750mm - Aurea — 3 variants, 5-5 photos each, 8 uploaded, 15 media total
[2026-09-26T15:45:30.731Z] ✓ Reggio Horizontal Triple Column Radiator 800x1010mm 5736 BTU - Cast Iron Style — 2 variants, 4-4 photos each, 3 uploaded, 8 media total
[2026-09-26T15:45:31.218Z] ✓ Reggio Three Column Traditional Radiator Feet — 2 variants, 4-4 photos each, 3 uploaded, 8 media total
[2026-09-26T15:45:32.679Z] ✓ Reggio Horizontal Double Column Radiator - Cast Iron Style — 4 variants, 4-4 photos each, 9 uploaded, 16 media total
